id,ads,name,cena,cena_d,ilosc_z,link,quot
0,NO_ADS,"Skrobak do czyszczenia dysz gazowych mig/mag, 12,99 zł","12,99 zł aktualna cena","21,98 zł z dostawą",40 osób kupiło,https://allegro.pl/oferta/skrobak-do-czyszczenia-dysz-gazowych-mig-mag-10710465135,71
1,NO_ADS,"50x Końcówka końcówki prądowe mb15 0,8 do MIGomatu, 48,99 zł","48,99 zł aktualna cena","57,98 zł z dostawą",16 osób kupiło,https://allegro.pl/oferta/50x-koncowka-koncowki-pradowe-mb15-0-8-do-migomatu-9740511345,71
2,NO_ADS,"50x Końcówka prądowa 1,2mm M8x30 MIG MB-401 MB-501, 99,99 zł","99,99 zł aktualna cena","108,98 zł z dostawą",4 Monety6 osób kupiło,https://allegro.pl/oferta/50x-koncowka-pradowa-1-2mm-m8x30-mig-mb-401-mb-501-9654649175,71
3,NO_ADS,"Końcówka prądowa 15 MB 0,8 do migomatu 50 SZTUK, 48,99 zł","48,99 zł aktualna cena","57,98 zł z dostawą",6 osób kupiło,https://allegro.pl/oferta/koncowka-pradowa-15-mb-0-8-do-migomatu-50-sztuk-9654542399,71
4,NO_ADS,"Dysza gazowa MB 15 stożkowa łuska wąska 10 sztuk, 39,99 zł","39,99 zł aktualna cena","48,98 zł z dostawą",4 osoby kupiły,https://allegro.pl/oferta/dysza-gazowa-mb-15-stozkowa-luska-waska-10-sztuk-7934337830,71
5,NO_ADS,"ZESTAW TIG AC DC do alu nierdzewki DRUT ALSI ALMG, 339,99 zł","339,99 zł aktualna cena","348,98 zł z dostawą",2 osoby kupiły,https://allegro.pl/oferta/zestaw-tig-ac-dc-do-alu-nierdzewki-drut-alsi-almg-9989758392,71
6,NO_ADS,"Końcówka prądowa 0,8mm MB-25, MB-24 ZESTAW 50 szt., 69,50 zł","69,50 zł aktualna cena","78,49 zł z dostawą",2 Monety1 osoba kupiła,https://allegro.pl/oferta/koncowka-pradowa-0-8mm-mb-25-mb-24-zestaw-50-szt-9654622787,71
7,ADS,"PRZECINARKA PLAZMOWA DYSZE PT 31 PLAZMA CUT 60 80, 179,00 zł","179,00 zł aktualna cena",darmowa dostawa,kupon na 500 zł1 osoba kupiła,https://allegro.pl/events/clicks?emission_unit_id=7a1fd2cb-00a3-43dc-b267-6e8e8b68de27&emission_id=fa4acb97-0011-4c5b-91b5-2cf8bcdfe4f2&type=OFFER&ts=1651946195841&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fprzecinarka-plazmowa-dysze-pt-31-plazma-cut-60-80-7371063101%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Acategory%26bi_c%3DZTE4ODVkY2ItN2I3ZS00OWUyLWFhMDgtYjhjZTI1MDAwYjMzAA%26bi_t%3Dape&placement=listing:desktop:category&sig=94fed38e2b53467e2f56e144155af097,71
8,NO_ADS,"DYSZA TNĄCA PERUN Y11A 3-15MM, 15,00 zł","15,00 zł aktualna cena",,,https://allegrolokalnie.pl/oferta/dysza-tnaca-perun-y11a-315mm,71
9,NO_ADS,"Dysza gazowa, łuska 10 szt, 30,00 zł","30,00 zł aktualna cena",,,https://allegrolokalnie.pl/oferta/dysza-gazowa-luska-cr7,71
10,NO_ADS,"Dysza gazowa, łuska 10 szt, 20,00 zł","20,00 zł aktualna cena",,,https://allegrolokalnie.pl/oferta/dysza-gazowa-luska-qot,71
11,NO_ADS,"Zestaw 50 el. XL PT-31 PT31 Dysze Elektrody CUT40, 36,99 zł","36,99 zł aktualna cena","45,98 zł z dostawą",39 osób kupiło,https://allegro.pl/oferta/zestaw-50-el-xl-pt-31-pt31-dysze-elektrody-cut40-11563236962,71
12,NO_ADS,"Dysza gazowa MB 15 stożkowa łuska wąska TW, 3,99 zł","3,99 zł aktualna cena","12,98 zł z dostawą",36 osób kupiło,https://allegro.pl/oferta/dysza-gazowa-mb-15-stozkowa-luska-waska-tw-7389514016,71
